dataset,n_samples,n_features,ratio,mean,std,skewness,kurtosis,var,pca_var_1,pca_var_2,pca_var_3,pca_var_4,pca_var_5,pca_sum_var,entropy,avg_mutual_info,betti_0,persistent_entropy_h0,betti_1,persistent_entropy_h1,CLM,split,target_cvi,best_algorithm,algorithm_label_source,best_k,use_scaler,linkage
dataset_77,4589,11,417.1818181818182,0.0,0.0,-0.8652147344350996,1.7462802355441434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952348593277352,0.0,4,0.0,7,0.0,0.7438781669481782,train,Davies-Bouldin,gmm,heuristic_from_cvi,5,1,
dataset_95,2186,33,66.24242424242425,0.0,0.0,-0.4988528435154764,4.570235993959911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.607755586177362,0.0,6,0.0,6,0.0,0.743644728565012,train,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_93,6746,47,143.53191489361703,0.0,0.0,-0.3207315760951399,3.157368967662603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1354721712400804,0.0,13,0.0,1,0.0,0.735804487435011,train,Silhouette,kmeans,heuristic_from_cvi,6,1,
dataset_03,5334,74,72.08108108108108,0.0,0.0,-0.1054320378791138,4.229760620656251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40873906429373,0.0,4,0.0,0,0.0,0.713635335194782,train,Silhouette,kmeans,heuristic_from_cvi,4,1,
dataset_87,9539,22,433.59090909090907,0.0,0.0,0.6844223073432325,4.584365199693973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.714123355865875,0.0,14,0.0,3,0.0,0.7117967573203093,train,Davies-Bouldin,gmm,heuristic_from_cvi,4,1,
dataset_76,9158,57,160.66666666666666,0.0,0.0,-0.7207829228199366,2.2720138998874555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4138619870463653,0.0,3,0.0,7,0.0,0.7113355193915603,train,Silhouette,kmeans,heuristic_from_cvi,7,1,
dataset_92,7298,20,364.9,0.0,0.0,0.0341626521926679,1.440207698110707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0325925725319514,0.0,7,0.0,7,0.0,0.6991984861617062,train,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_10,2990,14,213.57142857142856,0.0,0.0,0.2217949652689019,1.9117406501677667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4385999661310644,0.0,8,0.0,2,0.0,0.695215884902955,train,Calinski-Harabasz,agglomerative,heuristic_from_cvi,2,1,ward
dataset_75,4418,54,81.81481481481481,0.0,0.0,-1.0885190094720054,2.7084311545050253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161756670339962,0.0,4,0.0,3,0.0,0.6942801547626652,train,Davies-Bouldin,gmm,heuristic_from_cvi,5,1,
dataset_39,7726,27,286.14814814814815,0.0,0.0,0.258107644563452,4.272059063689973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6903917802670867,0.0,13,0.0,7,0.0,0.6768594304143608,train,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_46,2198,28,78.5,0.0,0.0,-0.7907421031505003,4.442922333025374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.539918989484244,0.0,2,0.0,3,0.0,0.6601421589525661,train,Calinski-Harabasz,agglomerative,heuristic_from_cvi,10,1,ward
dataset_88,4482,7,640.2857142857143,0.0,0.0,-1.043876176835329,1.0278085221247628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222127339813349,0.0,12,0.0,1,0.0,0.6409192529435142,val,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_82,397,31,12.806451612903226,0.0,0.0,1.0773252894079997,3.042989210310263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1563678944751592,0.0,10,0.0,2,0.0,0.6299395576572197,val,Silhouette,kmeans,heuristic_from_cvi,3,1,
dataset_21,4836,93,52.0,0.0,0.0,1.1175168793789425,2.669644012595116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4163327197325812,0.0,14,0.0,3,0.0,0.6211267289362322,val,Silhouette,kmeans,heuristic_from_cvi,4,1,
dataset_31,1863,22,84.68181818181819,0.0,0.0,0.7401536354795066,1.888431241882921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6186029464669571,0.0,3,0.0,0,0.0,0.6178095359641076,val,Davies-Bouldin,gmm,heuristic_from_cvi,2,1,
dataset_09,1063,4,265.75,0.0,0.0,-0.4689269539839104,1.4794614693347312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.165344321049051,0.0,1,0.0,0,0.0,0.6128585590422708,val,Silhouette,kmeans,heuristic_from_cvi,4,1,
dataset_04,6177,55,112.30909090909093,0.0,0.0,-0.9655869263846788,2.350460685614512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.356529740591515,0.0,8,0.0,4,0.0,0.6109670328317182,val,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_55,3781,44,85.93181818181819,0.0,0.0,0.4421592636291764,4.771638815650077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86391504097911,0.0,3,0.0,2,0.0,0.6103829836845356,val,Silhouette,kmeans,heuristic_from_cvi,8,1,
dataset_29,9755,35,278.7142857142857,0.0,0.0,-0.1436340150249568,2.292811728083021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9581749886260955,0.0,12,0.0,2,0.0,0.6061592180237727,val,Silhouette,kmeans,heuristic_from_cvi,3,1,
dataset_94,9761,95,102.74736842105264,0.0,0.0,-0.9071082363725308,3.0751624869734644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188402042341713,0.0,10,0.0,4,0.0,0.5821834421285121,val,Davies-Bouldin,gmm,heuristic_from_cvi,8,1,
dataset_49,3504,85,41.22352941176471,0.0,0.0,-0.0115754157329515,3.8120758355807114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926804850838478,0.0,7,0.0,3,0.0,0.5709669150943253,val,Silhouette,kmeans,heuristic_from_cvi,2,1,
dataset_66,6728,20,336.4,0.0,0.0,-1.1174675493234758,2.454518409517176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052532621739378,0.0,10,0.0,2,0.0,0.5678759840318514,val,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_18,7092,45,157.6,0.0,0.0,0.982368964989077,4.887128330883843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6396015573106664,0.0,5,0.0,0,0.0,0.5540624523568232,val,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_48,1695,21,80.71428571428571,0.0,0.0,-0.5789280441599594,4.849789179768445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270394323566653,0.0,10,0.0,0,0.0,0.5504523763069143,val,Silhouette,kmeans,heuristic_from_cvi,5,1,
dataset_28,3827,40,95.675,0.0,0.0,0.3900534824495567,2.0071291833014566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4753794959375069,0.0,5,0.0,7,0.0,0.545960517578481,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,10,1,
dataset_42,5730,39,146.92307692307693,0.0,0.0,-0.4518934173854136,2.988994023569542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40096411731222,0.0,14,0.0,1,0.0,0.531286220785678,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,10,1,
dataset_96,8538,96,88.9375,0.0,0.0,0.0481632508267459,2.203513239267078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9490431061618516,0.0,7,0.0,2,0.0,0.5302226092005808,val,Davies-Bouldin,gmm,heuristic_from_cvi,6,1,
dataset_90,859,67,12.82089552238806,0.0,0.0,0.112104670423871,2.1393619775098704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3154216114940342,0.0,9,0.0,3,0.0,0.513605492374701,val,Calinski-Harabasz,agglomerative,heuristic_from_cvi,10,1,ward
dataset_25,6115,51,119.90196078431372,0.0,0.0,-0.756349306738735,1.1475477894181312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3571785887080208,0.0,12,0.0,4,0.0,0.5011738878471177,val,Davies-Bouldin,gmm,heuristic_from_cvi,7,1,
dataset_40,9101,78,116.67948717948718,0.0,0.0,1.1270031066349404,3.4382573359195874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2360796096833906,0.0,5,0.0,4,0.0,0.488917420179493,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,4,1,
dataset_19,1878,10,187.8,0.0,0.0,0.6603187760666749,3.010716092915446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5474919707918775,0.0,1,0.0,3,0.0,0.4825976643544292,val,Silhouette,kmeans,heuristic_from_cvi,7,1,
dataset_61,4937,51,96.80392156862744,0.0,0.0,1.054797459754054,1.2059150049999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447915511239489,0.0,10,0.0,6,0.0,0.4492815130609011,val,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_01,4688,23,203.82608695652175,0.0,0.0,0.9475856410263572,2.1145858569464457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.277787544021949,0.0,10,0.0,5,0.0,0.4383958915124691,val,Davies-Bouldin,gmm,heuristic_from_cvi,6,1,
dataset_24,3357,4,839.25,0.0,0.0,0.2349599491466043,4.633063543866615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7273708597836746,0.0,1,0.0,1,0.0,0.4320986193361426,val,Silhouette,kmeans,heuristic_from_cvi,3,1,
dataset_79,8204,30,273.46666666666664,0.0,0.0,1.0124981640554804,1.9582475626678897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3966299390353756,0.0,2,0.0,4,0.0,0.4260186109790899,val,Davies-Bouldin,gmm,heuristic_from_cvi,8,1,
dataset_64,6055,10,605.5,0.0,0.0,-0.9876179950753932,1.5795794883648924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.387221928976684,0.0,14,0.0,2,0.0,0.4247000615540637,val,Davies-Bouldin,gmm,heuristic_from_cvi,2,1,
dataset_83,7325,67,109.32835820895522,0.0,0.0,-0.7296411301940515,2.957811041110252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0443293119488164,0.0,6,0.0,1,0.0,0.4047914791365399,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,10,1,
dataset_60,898,24,37.416666666666664,0.0,0.0,-1.0914545066147086,4.942601816442403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3127915654157158,0.0,9,0.0,2,0.0,0.4005043546877135,val,Davies-Bouldin,gmm,heuristic_from_cvi,7,1,
dataset_86,9000,51,176.47058823529412,0.0,0.0,-0.4192072061681655,1.9682210860460017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5938029586659683,0.0,8,0.0,6,0.0,0.4003911579605952,val,Silhouette,kmeans,heuristic_from_cvi,9,1,
dataset_47,8194,96,85.35416666666667,0.0,0.0,-0.2671745047452432,3.688542189623514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0385236817022565,0.0,13,0.0,0,0.0,0.3900175285888464,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,5,1,
dataset_85,6487,64,101.359375,0.0,0.0,-0.5487623237426498,4.04647846131487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3824582159844607,0.0,5,0.0,1,0.0,0.3894563877210599,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,2,1,
dataset_37,6064,57,106.3859649122807,0.0,0.0,0.7889700219646303,1.950550175969599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254275147268868,0.0,1,0.0,7,0.0,0.3845526022634954,val,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_17,6574,97,67.77319587628865,0.0,0.0,-0.3437920159353856,3.9128653944474383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1260839136208856,0.0,13,0.0,4,0.0,0.384266527078844,val,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_23,6868,5,1373.6,0.0,0.0,-0.5257571767502861,2.471132530877013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.302079799898421,0.0,7,0.0,1,0.0,0.374951379372118,val,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,9,1,
dataset_20,3442,19,181.1578947368421,0.0,0.0,0.1024705995797963,3.529223322374318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557692369692416,0.0,5,0.0,1,0.0,0.3742464379524922,test,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_65,7592,70,108.45714285714286,0.0,0.0,-0.8617818600605696,3.534118843043579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1671896272770317,0.0,6,0.0,1,0.0,0.3663195724592831,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,5,1,
dataset_62,1054,23,45.82608695652174,0.0,0.0,0.7252727538096952,3.143098736299034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7012471306893825,0.0,13,0.0,5,0.0,0.3589387544658998,test,Silhouette,kmeans,heuristic_from_cvi,10,1,
dataset_45,863,92,9.380434782608695,0.0,0.0,-1.02107845516855,1.3611590802176332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3065224027674263,0.0,7,0.0,1,0.0,0.349260585832013,test,Calinski-Harabasz,agglomerative,heuristic_from_cvi,8,1,ward
dataset_14,6219,53,117.33962264150944,0.0,0.0,1.1685286478412416,4.341209982356952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469166935323216,0.0,3,0.0,2,0.0,0.3135011152222726,test,Silhouette,kmeans,heuristic_from_cvi,2,1,
dataset_27,2893,72,40.18055555555556,0.0,0.0,0.6533874463119778,2.2831202598869433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342604472332245,0.0,12,0.0,0,0.0,0.303748812261937,test,Calinski-Harabasz,agglomerative,heuristic_from_cvi,3,1,ward
dataset_72,5131,25,205.24,0.0,0.0,-0.7230823643179862,1.746074041599417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006821922327584,0.0,10,0.0,6,0.0,0.3030110747813127,test,Davies-Bouldin,gmm,heuristic_from_cvi,6,1,
dataset_58,1836,36,51.0,0.0,0.0,-1.1867469189033542,1.1631005662190557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119856522976662,0.0,3,0.0,3,0.0,0.3009068040627418,test,Calinski-Harabasz,agglomerative,heuristic_from_cvi,10,1,ward
dataset_50,3963,69,57.43478260869565,0.0,0.0,0.7571074282916019,3.3635717727529673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.696382715038034,0.0,5,0.0,1,0.0,0.2923379307546558,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,9,1,
dataset_16,7774,34,228.64705882352945,0.0,0.0,0.4964576252342811,3.7102574473691297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.560748797085331,0.0,6,0.0,4,0.0,0.291221472587144,test,Silhouette,kmeans,heuristic_from_cvi,3,1,
dataset_15,1957,26,75.26923076923077,0.0,0.0,0.5496172032983695,1.0663513157114246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5777006603600388,0.0,9,0.0,1,0.0,0.2900052247494674,test,Silhouette,kmeans,heuristic_from_cvi,4,1,
dataset_32,9921,51,194.52941176470588,0.0,0.0,0.6510488320462697,3.048372233197124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514422568781241,0.0,13,0.0,4,0.0,0.2813035752392144,test,Silhouette,kmeans,heuristic_from_cvi,9,1,
dataset_05,7921,36,220.02777777777777,0.0,0.0,-1.022292835838183,1.905983100791752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3101347172199294,0.0,14,0.0,2,0.0,0.2701343531406761,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,6,1,
dataset_06,7235,43,168.25581395348837,0.0,0.0,-0.3396822514937457,3.580691161637799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9090195819833924,0.0,12,0.0,4,0.0,0.270115780658876,test,Davies-Bouldin,gmm,heuristic_from_cvi,9,1,
dataset_67,5449,36,151.36111111111111,0.0,0.0,-0.9219142571396888,1.6974657160199658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91135152350546,0.0,5,0.0,7,0.0,0.2585116532305672,test,Silhouette,kmeans,heuristic_from_cvi,7,1,
dataset_22,1259,63,19.984126984126984,0.0,0.0,0.8714482221014246,3.763750952409864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0879241875983214,0.0,1,0.0,3,0.0,0.2574102727020722,test,Silhouette,kmeans,heuristic_from_cvi,9,1,
dataset_41,5775,75,77.0,0.0,0.0,0.295915504386139,2.5469413852021496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.231045712925061,0.0,14,0.0,0,0.0,0.2439694408304797,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,3,1,
dataset_91,3011,52,57.90384615384615,0.0,0.0,-0.4058447403536419,4.746919954946938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9851614364689072,0.0,14,0.0,4,0.0,0.2420875693724923,test,Silhouette,kmeans,heuristic_from_cvi,6,1,
dataset_80,3131,24,130.45833333333334,0.0,0.0,-1.0474599593135432,1.550083776583973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954700513530319,0.0,14,0.0,4,0.0,0.2392191758343498,test,Davies-Bouldin,gmm,heuristic_from_cvi,9,1,
dataset_38,9674,36,268.72222222222223,0.0,0.0,-0.4536424278824107,2.364265404201034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874715054797003,0.0,4,0.0,0,0.0,0.2252075277849156,test,Davies-Bouldin,gmm,heuristic_from_cvi,8,1,
dataset_57,7480,71,105.35211267605634,0.0,0.0,-0.4195600271358071,1.4538940849623565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.414888185411072,0.0,5,0.0,3,0.0,0.218139226579978,test,Silhouette,kmeans,heuristic_from_cvi,4,1,
dataset_69,1907,79,24.139240506329113,0.0,0.0,0.5510548280113539,4.698774473114251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5760973194988805,0.0,12,0.0,1,0.0,0.2074039956334235,test,Silhouette,kmeans,heuristic_from_cvi,6,1,
dataset_78,2527,30,84.23333333333333,0.0,0.0,0.3301379312525114,4.509357413523924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8669572752519135,0.0,10,0.0,4,0.0,0.2070143818352495,test,Calinski-Harabasz,agglomerative,heuristic_from_cvi,4,1,ward
dataset_33,5792,83,69.78313253012048,0.0,0.0,0.9293105821831836,2.0317665108606224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1590165596344555,0.0,10,0.0,0,0.0,0.2000897265986652,test,Davies-Bouldin,gmm,heuristic_from_cvi,2,1,
dataset_84,2130,72,29.583333333333332,0.0,0.0,-0.0666841796113217,3.639936184136716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447784986239761,0.0,5,0.0,7,0.0,0.1989399297202382,test,Davies-Bouldin,gmm,heuristic_from_cvi,4,1,
dataset_07,1684,42,40.095238095238095,0.0,0.0,-0.912973809748076,4.268888800804863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5643071531838264,0.0,7,0.0,7,0.0,0.1947243813695136,test,Silhouette,kmeans,heuristic_from_cvi,2,1,
dataset_30,5650,12,470.8333333333333,0.0,0.0,0.5117874893351879,3.2208032463978493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913440135066939,0.0,4,0.0,2,0.0,0.1857668177943982,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,10,1,
dataset_59,3896,17,229.1764705882353,0.0,0.0,0.6258841166805538,3.118602313424026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1926684370881393,0.0,1,0.0,0,0.0,0.1848250124611143,test,Davies-Bouldin,gmm,heuristic_from_cvi,10,1,
dataset_43,4613,41,112.51219512195122,0.0,0.0,0.147065274166791,1.9674091636018067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114210487699005,0.0,14,0.0,2,0.0,0.1764791612587181,test,Davies-Bouldin,gmm,heuristic_from_cvi,9,1,
dataset_11,7608,95,80.08421052631579,0.0,0.0,0.6503212318909464,1.3724110712235968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8433538562106264,0.0,14,0.0,7,0.0,0.1658500606077678,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,5,1,
dataset_73,3710,33,112.42424242424242,0.0,0.0,-0.0148905687254621,4.5888630318133075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0821983675934876,0.0,5,0.0,3,0.0,0.1542520301851738,test,Calinski-Harabasz,minibatch_kmeans,heuristic_from_cvi,6,1,
