dataset,n_samples,n_features,n_classes,CLM,split,skewness,kurtosis,shannon_entropy,betti_0,betti_1,best_CVI,ari
dataset_75,4418,54,5,0.6942801547626652,train,-1.0885190094720054,2.7084311545050253,2.161756670339962,4,3,Davies-Bouldin,0.977165335019972
dataset_39,7726,27,11,0.6768594304143608,train,0.25810764456345203,4.272059063689973,0.6903917802670867,13,7,Davies-Bouldin,0.7739090379873941
dataset_46,2198,28,10,0.6601421589525661,train,-0.7907421031505003,4.442922333025374,1.539918989484244,2,3,Calinski-Harabasz,0.5612572453378695
dataset_88,4482,7,11,0.6409192529435142,val,-1.043876176835329,1.0278085221247628,1.222127339813349,12,1,Davies-Bouldin,0.801228479973253
dataset_82,397,31,3,0.6299395576572197,val,1.0773252894079997,3.042989210310263,1.1563678944751592,10,2,Silhouette,0.9223729523349922
dataset_21,4836,93,4,0.6211267289362322,val,1.1175168793789425,2.669644012595116,3.4163327197325812,14,3,Silhouette,0.9519176370373352
dataset_31,1863,22,2,0.6178095359641076,val,0.7401536354795066,1.888431241882921,1.6186029464669573,3,0,Davies-Bouldin,0.339347450475241
dataset_09,1063,4,4,0.6128585590422708,val,-0.4689269539839104,1.4794614693347312,3.165344321049051,1,0,Silhouette,0.5682748230535283
dataset_04,6177,55,10,0.6109670328317182,val,-0.9655869263846787,2.350460685614512,2.356529740591515,8,4,Davies-Bouldin,0.37259412483640136
dataset_55,3781,44,8,0.6103829836845356,val,0.44215926362917646,4.771638815650077,2.86391504097911,3,2,Silhouette,0.528248844061935
dataset_29,9755,35,3,0.6061592180237727,val,-0.14363401502495687,2.292811728083021,1.9581749886260957,12,2,Silhouette,0.41538233464898455
dataset_94,9761,95,8,0.5821834421285121,val,-0.9071082363725308,3.0751624869734644,2.188402042341713,10,4,Davies-Bouldin,0.7398568859347321
dataset_49,3504,85,2,0.5709669150943253,val,-0.01157541573295151,3.8120758355807114,1.926804850838478,7,3,Silhouette,0.564022501113113
dataset_66,6728,20,11,0.5678759840318514,val,-1.1174675493234758,2.454518409517176,1.0052532621739378,10,2,Davies-Bouldin,0.4559884270793657
dataset_18,7092,45,11,0.5540624523568232,val,0.982368964989077,4.887128330883843,2.6396015573106664,5,0,Silhouette,0.48083778897568247
dataset_48,1695,21,5,0.5504523763069143,val,-0.5789280441599594,4.849789179768445,1.270394323566653,10,0,Silhouette,0.5450346647395824
dataset_28,3827,40,11,0.545960517578481,val,0.39005348244955673,2.0071291833014566,0.47537949593750695,5,7,Calinski-Harabasz,0.4767659067408986
dataset_42,5730,39,10,0.531286220785678,val,-0.45189341738541366,2.988994023569542,2.40096411731222,14,1,Calinski-Harabasz,0.6082037758436051
dataset_96,8538,96,6,0.5302226092005808,val,0.048163250826745996,2.2035132392670786,0.9490431061618517,7,2,Davies-Bouldin,0.3219748467545623
dataset_90,859,67,11,0.513605492374701,val,0.11210467042387107,2.1393619775098704,3.3154216114940342,9,3,Calinski-Harabasz,0.49023918487488305
dataset_25,6115,51,7,0.5011738878471177,val,-0.756349306738735,1.1475477894181312,3.3571785887080208,12,4,Davies-Bouldin,0.5796205701930865
dataset_40,9101,78,4,0.488917420179493,val,1.1270031066349404,3.4382573359195874,3.2360796096833906,5,4,Calinski-Harabasz,0.709891679775843
dataset_19,1878,10,7,0.4825976643544292,val,0.6603187760666749,3.010716092915446,1.5474919707918775,1,3,Silhouette,0.4842511969102883
dataset_61,4937,51,11,0.4492815130609011,val,1.054797459754054,1.2059150049999574,0.44791551123948903,10,6,Davies-Bouldin,0.3905658851521498
dataset_01,4688,23,6,0.4383958915124691,val,0.9475856410263572,2.1145858569464457,3.277787544021949,10,5,Davies-Bouldin,0.35181625812743095
dataset_24,3357,4,3,0.4320986193361426,val,0.23495994914660434,4.633063543866615,1.7273708597836746,1,1,Silhouette,0.9395616424520608
dataset_79,8204,30,8,0.4260186109790899,val,1.0124981640554804,1.9582475626678897,3.3966299390353756,2,4,Davies-Bouldin,0.5833145592621658
dataset_64,6055,10,2,0.4247000615540637,val,-0.9876179950753932,1.5795794883648924,3.387221928976684,14,2,Davies-Bouldin,0.6951905824029618
dataset_83,7325,67,11,0.4047914791365399,val,-0.7296411301940515,2.957811041110252,3.0443293119488164,6,1,Calinski-Harabasz,0.9250400552481803
dataset_60,898,24,7,0.4005043546877135,val,-1.0914545066147086,4.942601816442403,1.3127915654157158,9,2,Davies-Bouldin,0.35626892562400814
dataset_86,9000,51,9,0.4003911579605952,val,-0.41920720616816554,1.9682210860460017,1.5938029586659685,8,6,Silhouette,0.896129810429539
dataset_47,8194,96,5,0.3900175285888464,val,-0.2671745047452432,3.688542189623514,3.0385236817022565,13,0,Calinski-Harabasz,0.6750797533299676
dataset_85,6487,64,2,0.3894563877210599,val,-0.5487623237426498,4.04647846131487,1.3824582159844607,5,1,Calinski-Harabasz,0.41208729757316065
dataset_37,6064,57,11,0.3845526022634954,val,0.7889700219646303,1.9505501759695987,0.9254275147268868,1,7,Silhouette,0.579653479278051
dataset_17,6574,97,10,0.384266527078844,val,-0.34379201593538566,3.9128653944474383,2.1260839136208856,13,4,Silhouette,0.8287695529399532
dataset_23,6868,5,9,0.374951379372118,val,-0.5257571767502861,2.471132530877013,3.302079799898421,7,1,Calinski-Harabasz,0.6266516556691211
dataset_20,3442,19,11,0.3742464379524922,test,0.10247059957979632,3.529223322374318,2.557692369692416,5,1,Davies-Bouldin,0.9699945144525428
dataset_65,7592,70,5,0.3663195724592831,test,-0.8617818600605696,3.534118843043579,2.1671896272770317,6,1,Calinski-Harabasz,0.5561824995577997
dataset_62,1054,23,11,0.3589387544658998,test,0.7252727538096952,3.143098736299034,0.7012471306893825,13,5,Silhouette,0.8097132439837289
dataset_45,863,92,8,0.349260585832013,test,-1.02107845516855,1.3611590802176332,2.3065224027674263,7,1,Calinski-Harabasz,0.5672328253056242
dataset_14,6219,53,2,0.3135011152222726,test,1.1685286478412416,4.341209982356952,3.469166935323216,3,2,Silhouette,0.8638316700804298
dataset_27,2893,72,3,0.303748812261937,test,0.6533874463119778,2.2831202598869433,0.8342604472332245,12,0,Calinski-Harabasz,0.6869753990327083
dataset_72,5131,25,6,0.3030110747813127,test,-0.7230823643179862,1.746074041599417,2.006821922327584,10,6,Davies-Bouldin,0.3431880441212009
dataset_58,1836,36,10,0.3009068040627418,test,-1.1867469189033542,1.1631005662190557,3.119856522976662,3,3,Calinski-Harabasz,0.3250388699924741
dataset_50,3963,69,9,0.2923379307546558,test,0.7571074282916019,3.3635717727529673,2.696382715038034,5,1,Calinski-Harabasz,0.3910194407844305
dataset_16,7774,34,3,0.291221472587144,test,0.49645762523428116,3.7102574473691297,2.560748797085331,6,4,Silhouette,0.30929693608235814
dataset_15,1957,26,4,0.2900052247494674,test,0.5496172032983695,1.0663513157114246,2.5777006603600388,9,1,Silhouette,0.3512441610396744
dataset_32,9921,51,9,0.2813035752392144,test,0.6510488320462697,3.048372233197124,1.514422568781241,13,4,Silhouette,0.7703657900748602
dataset_05,7921,36,6,0.2701343531406761,test,-1.022292835838183,1.9059831007917518,1.3101347172199294,14,2,Calinski-Harabasz,0.6633554670200348
dataset_06,7235,43,9,0.270115780658876,test,-0.33968225149374576,3.5806911616377994,2.9090195819833924,12,4,Davies-Bouldin,0.8099393096395808
dataset_67,5449,36,7,0.2585116532305672,test,-0.9219142571396887,1.6974657160199658,2.91135152350546,5,7,Silhouette,0.920952711535197
dataset_22,1259,63,9,0.2574102727020722,test,0.8714482221014246,3.763750952409864,3.0879241875983214,1,3,Silhouette,0.6979016819813209
dataset_41,5775,75,3,0.2439694408304797,test,0.295915504386139,2.5469413852021496,3.231045712925061,14,0,Calinski-Harabasz,0.7937621739688566
dataset_91,3011,52,6,0.2420875693724923,test,-0.40584474035364193,4.746919954946938,1.9851614364689074,14,4,Silhouette,0.8148152173888699
dataset_80,3131,24,9,0.2392191758343498,test,-1.0474599593135432,1.550083776583973,1.954700513530319,14,4,Davies-Bouldin,0.5569383735075347
dataset_38,9674,36,8,0.2252075277849156,test,-0.4536424278824107,2.364265404201034,2.874715054797003,4,0,Davies-Bouldin,0.46393768598414964
dataset_57,7480,71,4,0.218139226579978,test,-0.4195600271358071,1.4538940849623563,2.4148881854110718,5,3,Silhouette,0.43943082338443695
dataset_69,1907,79,6,0.2074039956334235,test,0.5510548280113539,4.698774473114251,2.5760973194988805,12,1,Silhouette,0.47098085886802293
dataset_78,2527,30,4,0.2070143818352495,test,0.33013793125251145,4.509357413523924,2.8669572752519135,10,4,Calinski-Harabasz,0.4868176219776179
dataset_33,5792,83,2,0.2000897265986652,test,0.9293105821831837,2.0317665108606224,3.1590165596344555,10,0,Davies-Bouldin,0.44091480132547833
dataset_84,2130,72,4,0.1989399297202382,test,-0.06668417961132178,3.639936184136716,1.447784986239761,5,7,Davies-Bouldin,0.8971900538858506
dataset_07,1684,42,2,0.1947243813695136,test,-0.912973809748076,4.268888800804863,1.5643071531838264,7,7,Silhouette,0.8147594098771154
dataset_30,5650,12,11,0.1857668177943982,test,0.5117874893351879,3.2208032463978493,0.6913440135066939,4,2,Calinski-Harabasz,0.33188959809802954
dataset_59,3896,17,11,0.1848250124611143,test,0.6258841166805538,3.118602313424026,2.1926684370881393,1,0,Davies-Bouldin,0.482697287777209
dataset_43,4613,41,9,0.1764791612587181,test,0.14706527416679105,1.9674091636018067,0.5114210487699005,14,2,Davies-Bouldin,0.3150856245806051
dataset_11,7608,95,5,0.1658500606077678,test,0.6503212318909464,1.3724110712235968,1.8433538562106264,14,7,Calinski-Harabasz,0.6387523269192071
dataset_73,3710,33,6,0.1542520301851738,test,-0.014890568725462128,4.5888630318133075,2.0821983675934876,5,3,Calinski-Harabasz,0.6238232738165296
